categoria,nombre,precio_oferta,precio_regular,enlace
Supermercado,Quaker Avena Integral en Hojuelas|300g,129.00 USD (x1),129.00 USD (x1),https://www.elmachetazo.com/quaker-avena-integral-en-hojuelas300g-10399544/p
Supermercado,Café Durán de Altura Molido Regular|212g,440.00 USD (x1),440.00 USD (x1),https://www.elmachetazo.com/cafe-duran-de-altura-molido-regular-212g-10024940-machetazo/p
Supermercado,Café Durán de Altura Molido Extrafino|425g,860.00 USD (x1),860.00 USD (x1),https://www.elmachetazo.com/cafe-duran-de-altura-molido-extrafino-425g-10024938-machetazo/p
Supermercado,Azúcar Morena Doradita|400g,60.00 USD (x1),60.00 USD (x1),https://www.elmachetazo.com/azucar-morena-doradita-400g-10417529/p
Supermercado,Bolsa Sandwich Blixi 50 und,191.00 USD (x1),191.00 USD (x1),https://www.elmachetazo.com/bolsa-sandwich-blixi-50-und-10778809/p
Supermercado,Bebida Instantánea Zuko Guayaba Piña|20g,26.00 USD (x1),26.00 USD (x1),https://www.elmachetazo.com/bebida-instantanea-zuko-guayaba-piña-20g-10030369-machetazo/p
Supermercado,Suplemento Polvo Vainilla Vainilla Glucerna|900g,4840.00 USD (x1),4840.00 USD (x1),https://www.elmachetazo.com/suplemento-polvo-vainilla-vainilla-glucerna900g-10345607/p
Supermercado,Snack para Perro Beneful Baked Delight|9.5oz,595.00 USD (x1),595.00 USD (x1),https://www.elmachetazo.com/snack-para-perro-beneful-baked-delight95oz-10481019/p
Supermercado,Detergente Líquido Rendidor 6x Lavanda 2 Litros,700.00 USD (x1),779.00 USD (x1),https://www.elmachetazo.com/detergente-liquido-rendidor-6x-lavanda-2-litros-10652285/p
Supermercado,Vinagre Blanco Proluxsa 1 Galón,369.00 USD (x1),369.00 USD (x1),https://www.elmachetazo.com/vinagre-blanco-proluxsa-1-galon-10025604/p
Supermercado,Alimento Perro Adulto|18Kg,3652.00 USD (x1),3652.00 USD (x1),https://www.elmachetazo.com/alimento-perro-adulto18kg-10012616/p
Supermercado,Desinfectante Floral Mistolin 1 galón,689.00 USD (x1),689.00 USD (x1),https://www.elmachetazo.com/desinfectante-floral-mistolin-1-galon-10012123/p
Supermercado,Desinfectante Lavanda Fabuloso 1 Galón,675.00 USD (x1),799.00 USD (x1),https://www.elmachetazo.com/desinfectante-lavanda-fabuloso-1-galon-10034807/p
Supermercado,Detergente Polvo Azul Rendidor 2.5kg,589.00 USD (x1),722.00 USD (x1),https://www.elmachetazo.com/detergente-polvo-azul-rendidor-25kg-10652289/p
Supermercado,Queso Parmegiano Reggiano Zanetti 200g,953.00 USD (x1),953.00 USD (x1),https://www.elmachetazo.com/queso-parmegiano-reggiano-zanetti-200g-10042680/p
Supermercado,Bebida Instantánea Zuko Fruit Punch|20g,32.00 USD (x1),32.00 USD (x1),https://www.elmachetazo.com/bebida-instantanea-zuko-fruit-punch-20g-10030525-machetazo/p
Supermercado,Mantequilla Orange Grove 200g,287.00 USD (x1),287.00 USD (x1),https://www.elmachetazo.com/mantequilla-orange-grove-200g-10039367/p
Supermercado,Snack para Perros Original with Bacon Beggin Purina 3oz,205.00 USD (x1),205.00 USD (x1),https://www.elmachetazo.com/snack-para-perros-original-with-bacon-beggin-purina-3oz-10013448/p
Supermercado,Papel Plástico Reynolds 100 sq.ft,232.00 USD (x1),232.00 USD (x1),https://www.elmachetazo.com/papel-plastico-reynolds-100-sqft-10659458/p
Supermercado,Jugo Manzana Mott's 64oz,540.00 USD (x1),540.00 USD (x1),https://www.elmachetazo.com/jugo-manzana-motts-64oz-10016497/p
Supermercado,Azúcar Morena La Estrella|4 lb,275.00 USD (x1),275.00 USD (x1),https://www.elmachetazo.com/azucar-morena-la-estrella-4lb-10582048/p
Supermercado,Sopa Wo-Mien Rika 85g,69.00 USD (x1),69.00 USD (x1),https://www.elmachetazo.com/sopa-wo-mien-rika-85g-10026612/p
Supermercado,Azúcar Blanca Santa Rosa|2 kg,295.00 USD (x1),295.00 USD (x1),https://www.elmachetazo.com/azucar-blanca-santa-rosa-2kg-10610083/p
Supermercado,Coffee Mate Original Sin Lactosa|311g,345.00 USD (x1),345.00 USD (x1),https://www.elmachetazo.com/coffee-mate-original-sin-lactosa-en-polvo-tarro-311g-10028265/p
Supermercado,Tortilla de Maíz El Antojo 12und,135.00 USD (x1),135.00 USD (x1),https://www.elmachetazo.com/tortilla-de-maiz-el-antojo-12und-10300306/p
Supermercado,Chorizo de Cerdo Español Berard|400g,445.00 USD (x1),445.00 USD (x1),https://www.elmachetazo.com/chorizo-de-cerdo-espanol-berard400g-10714108/p
Supermercado,Insecticida Raid Essentials MIK 400ml,665.00 USD (x1),665.00 USD (x1),https://www.elmachetazo.com/insecticida-raid-essentials-mik-400ml-11041664/p
Supermercado,Insecticida Raid Essentials CIK 400ml,665.00 USD (x1),665.00 USD (x1),https://www.elmachetazo.com/insecticida-raid-essentials-cik-400ml-11041663/p
Supermercado,Suavizante Suavitel Complete Fresca Primavera 800ml,211.00 USD (x1),255.00 USD (x1),https://www.elmachetazo.com/suavizante-suavitel-complete-fresca-primavera-800ml-11020046/p
Supermercado,Quitamanchas Magia Blanca |450ml,299.00 USD (x1),299.00 USD (x1),https://www.elmachetazo.com/quitamanchas-magia-blanca-450ml-10904940/p
Supermercado,Quitamanchas Magia Blanca para Ropa de Color |450ml,299.00 USD (x1),299.00 USD (x1),https://www.elmachetazo.com/quitamanchas-magia-blanca-para-ropa-de-color-450ml-10904937/p
Supermercado,Papel Higiénico Familia Acolchamax Megarollo 4 Unidades,347.00 USD (x1),347.00 USD (x1),https://www.elmachetazo.com/papel-higienico-familia-acolchamax-megarollo-4-unidades-10867531/p
Supermercado,Papel Higiénico Selpak 32 Unidades,1199.00 USD (x1),1199.00 USD (x1),https://www.elmachetazo.com/papel-higienico-selpak-32-unidades-10835017/p
Supermercado,Papel Higiénico Encanto Grande 24 Unidades,889.00 USD (x1),889.00 USD (x1),https://www.elmachetazo.com/papel-higienico-encanto-grande-24-unidades-10851351/p
Supermercado,Aderezo Hellmann's con Queso Cheddar 1 Litro,432.00 USD (x1),432.00 USD (x1),https://www.elmachetazo.com/aderezo-hellmanns-con-queso-cheddar-1-litro-10994308/p
Supermercado,Pancake Original Cenutre 170g,79.00 USD (x1),79.00 USD (x1),https://www.elmachetazo.com/pancake-original-cenutre-170g-11019430/p
Supermercado,Yuca Bites de Carne Teque Sin Gluten 400g,657.00 USD (x1),657.00 USD (x1),https://www.elmachetazo.com/yuca-bites-de-carne-teque-sin-gluten-400g-11000425/p
Supermercado,Tráquea de Vaca Zac Becca 10g,625.00 USD (x1),625.00 USD (x1),https://www.elmachetazo.com/traquea-de-vaca-zac-becca-10g-10951559/p
Supermercado,Oreja de Vaca para Perro Zac&Becca 20g,750.00 USD (x1),750.00 USD (x1),https://www.elmachetazo.com/oreja-de-vaca-para-perro-zacbecca-20g-10951517/p
Supermercado,Alimento para Gato Whiskas Souffle Res 85g,94.00 USD (x1),94.00 USD (x1),https://www.elmachetazo.com/alimento-para-gato-whiskas-souffle-res-85g-10767462/p
Supermercado,Alimento para Gato Whiskas Atun y Sardina 85g,94.00 USD (x1),94.00 USD (x1),https://www.elmachetazo.com/alimento-para-gato-whiskas-atun-y-sardina-85g-10767461/p
Supermercado,Alimento para Gato Whiskas Salmón 85g,94.00 USD (x1),94.00 USD (x1),https://www.elmachetazo.com/alimento-para-gato-whiskas-salmon-85g-10952277/p
Supermercado,Alimento para Gato Whiskas Mix 85g,94.00 USD (x1),94.00 USD (x1),https://www.elmachetazo.com/alimento-para-gato-whiskas-mix-85g-10952276/p
Supermercado,Alimento para Gato Whiskas Pavo 85g,94.00 USD (x1),94.00 USD (x1),https://www.elmachetazo.com/alimento-para-gato-whiskas-pavo-85g-10848756/p
Supermercado,Alimento para Perro Pedigree High Carne 85g,94.00 USD (x1),94.00 USD (x1),https://www.elmachetazo.com/alimento-para-perro-pedigree-high-carne-85g-10883240/p
Supermercado,Alimento para Perro Pedigree High Pollo 85g,94.00 USD (x1),94.00 USD (x1),https://www.elmachetazo.com/alimento-para-perro-pedigree-high-pollo-85g-10883242/p
Supermercado,Disfraz Navideño para Mascota|21x47cm,399.00 USD (x1),399.00 USD (x1),https://www.elmachetazo.com/disfraz-navideno-para-mascota-21x47cm-11017753-machetazo/p
Supermercado,Digyton Digestivo para Perros|30ml,657.00 USD (x1),657.00 USD (x1),https://www.elmachetazo.com/digyton-digestivo-para-perros30ml-11008814/p
Supermercado,Immunol Defensa para Perros|100 ml,657.00 USD (x1),657.00 USD (x1),https://www.elmachetazo.com/immunol-defensa-para-perros100ml-11008815/p
Supermercado,Nefrotec Urinario para Perros|60 Tabletas,657.00 USD (x1),657.00 USD (x1),https://www.elmachetazo.com/nefrotec-urinario-para-perros60-tabletas-11008816/p
Supermercado,Pañal para Perro|Small|10 Unidades,398.00 USD (x1),398.00 USD (x1),https://www.elmachetazo.com/panal-para-perro-small-10-unidades-11008817-machetazo/p
Supermercado,Alimento para Perro Adulto Chicken Soup|Raza Pequeña|4.5 lb,1921.00 USD (x1),1921.00 USD (x1),https://www.elmachetazo.com/alimento-para-perro-adulto-chicken-soup-raza-pequena-45-lb-11008779-machetazo/p
Supermercado,Alimento para Perro Adulto Chicken Soup|Pollo y Pavo|4.5 lb,1921.00 USD (x1),1921.00 USD (x1),https://www.elmachetazo.com/alimento-para-perro-adulto-chicken-souppollo-y-pavo45-lb-11008780/p
Supermercado,Alimento para Cachorro Chicken Soup|Pollo y Pavo|4.5 lb,1921.00 USD (x1),1921.00 USD (x1),https://www.elmachetazo.com/alimento-para-cachorro-chicken-soup-pollo-y-pavo-45-lb-11008781-machetazo/p
Supermercado,Alimento para Perro Adulto Chicken Soup|Pollo y Pavo|4.5 lb,1935.00 USD (x1),1935.00 USD (x1),https://www.elmachetazo.com/alimento-para-perro-adulto-chicken-souppollo-y-pavo-45-lb-11008793-machetazo/p
Supermercado,Alimento para Perro Adulto Chicken Soup|Carne de Res|4.5 lb,1965.00 USD (x1),1965.00 USD (x1),https://www.elmachetazo.com/alimento-para-perro-adulto-chicken-soupcarne-de-res45-lb-11008794/p
Supermercado,Alimento para Perro Chicken Soup|Control de Peso|4.5 lb,1921.00 USD (x1),1921.00 USD (x1),https://www.elmachetazo.com/alimento-para-perro-chicken-soup-control-de-peso-45-lb-11008795-machetazo/p
Supermercado,Crunchy de Maní Chicken Soup|12 oz,665.00 USD (x1),665.00 USD (x1),https://www.elmachetazo.com/crunchy-de-mani-chicken-soup-12-oz-11008796-machetazo/p
Supermercado,Crunchy de Pollo Chicken Soup|12 oz,665.00 USD (x1),665.00 USD (x1),https://www.elmachetazo.com/crunchy-de-pollo-chicken-soup-12-oz-11008797-machetazo/p
Supermercado,Crunchy de Tocino Chicken Soup|12 oz,665.00 USD (x1),665.00 USD (x1),https://www.elmachetazo.com/crunchy-de-tocino-chicken-soup-12-oz-11008798-machetazo/p
Supermercado,Savory Pollo Chicken Soup|6 oz,663.00 USD (x1),663.00 USD (x1),https://www.elmachetazo.com/savory-pollo-chicken-soup-6-oz-11008799-machetazo/p
Supermercado,Savory Sticks Pollo Chicken Soup|5 oz,663.00 USD (x1),663.00 USD (x1),https://www.elmachetazo.com/savory-sticks-pollo-chicken-soup-5-oz-11008801-machetazo/p
Supermercado,Sustituto de Leche para Perro Petlac|10.5 oz,1172.00 USD (x1),1172.00 USD (x1),https://www.elmachetazo.com/sustituto-de-leche-para-perro-petlac-105-oz-10499625-machetazo/p
Supermercado,Mirrapel para Perro y Gato Adulto|300g,1314.00 USD (x1),1314.00 USD (x1),https://www.elmachetazo.com/mirrapel-para-perro-y-gato-adulto-300g-11008803-machetazo/p
Supermercado,Mirrapel para Perro y Gato Adulto|120ml,1183.00 USD (x1),1183.00 USD (x1),https://www.elmachetazo.com/mirrapel-para-perro-y-gato-adulto-120ml-11008804-machetazo/p
Supermercado,Mirrapel para Cachorros|120ml,1480.00 USD (x1),1480.00 USD (x1),https://www.elmachetazo.com/mirrapel-para-cachorros-120ml-11008805-machetazo/p
Supermercado,Desparasitante para Perros Simparica Trio|3 mg,1453.00 USD (x1),1453.00 USD (x1),https://www.elmachetazo.com/desparasitante-para-perros-simparica-trio-3-mg-11008806-machetazo/p
Supermercado,Desparasitante para Perros Simparica Trio|12 mg,1638.00 USD (x1),1638.00 USD (x1),https://www.elmachetazo.com/desparasitante-para-perros-simparica-trio-12-mg-11008808-machetazo/p
Supermercado,Desparasitante para Perros Simparica Trio|24 mg,1883.00 USD (x1),1883.00 USD (x1),https://www.elmachetazo.com/desparasitante-para-perros-simparica-trio-24-mg-11008809-machetazo/p
Supermercado,Desparasitante para Perros Simparica Trio|48 mg,2021.00 USD (x1),2021.00 USD (x1),https://www.elmachetazo.com/desparasitante-para-perros-simparica-trio-48-mg-11008810-machetazo/p
Supermercado,Desparasitante para Perros Simparica Trio|72 mg,2272.00 USD (x1),2272.00 USD (x1),https://www.elmachetazo.com/desparasitante-para-perros-simparica-trio-72-mg-11008811-machetazo/p
Supermercado,Liv.52 Vet|Digestivo y Hepatoprotector|110ml,525.00 USD (x1),525.00 USD (x1),https://www.elmachetazo.com/liv52-vet-digestivo-y-hepatoprotector-110ml-11008812/p
Supermercado,Roast Beef Deli Grecia|227g,460.00 USD (x1),460.00 USD (x1),https://www.elmachetazo.com/roast-beef-deli-grecia227g-10834749/p
Supermercado,Lomo Ahumado Deli Grecia|227g,451.00 USD (x1),451.00 USD (x1),https://www.elmachetazo.com/lomo-ahumado-deli-grecia227g-10834750/p
